"","x"
"1","100monkeystyping.com"
"2","12thharmonic.com/wordpress"
"3","750volts.blogspot.com"
"4","95theses.blogspot.com"
"5","abbadabbaduo.blogspot.com"
"6","aboutpolitics.blogspot.com"
"7","achingandspinning.blogspot.com"
"8","ackackack.com"
"9","adamtalib.blogspot.com"
"10","adviceforlefty.blogspot.com"
"11","agonist.org"
"12","aintnobaddude.com"
"13","ajbenjaminjr.blogspot.com"
"14","alicublog.blogspot.com"
"15","allanjenkins.typepad.com"
"16","allspinzone.blogspot.com"
"17","alphapredator.com/wdtgw.htm"
"18","alternateworlds.blogspot.com"
"19","althippo.blogspot.com"
"20","alvintostig.typepad.com"
"21","americablog.blogspot.com"
"22","americablog.org"
"23","americanmuslim.blogs.com"
"24","americanpolitics.com"
"25","americansforbayh.blogspot.com"
"26","amleft.blogspot.com"
"27","amliberal.com/blog"
"28","amptoons.com/blog"
"29","anarchyxero.robfindlay.org"
"30","andifeelfine.blogspot.com"
"31","andymatic.com"
"32","angrybear.blogspot.com"
"33","angrydesi.typepad.com"
"34","angryfinger.org"
"35","angryhomo.blogspot.com"
"36","annatopia.com/home.html"
"37","anoldsoul.blogspot.com"
"38","anonymoussources.blogspot.com"
"39","answerguy.blogspot.com"
"40","anybodybutbushyall.blogspot.com"
"41","anywhichway.net"
"42","arancaytar.blogspot.com"
"43","archpundit.com"
"44","arkansastonight.com"
"45","askhoudari.blogspot.com"
"46","astroturf.uni.cc"
"47","atease.blogspot.com"
"48","atrios.blogspot.com"
"49","atrios.blogspot.com/ "
"50","awards5.tripod.com/tarasblog"
"51","b-patton.blogspot.com"
"52","bakshi.us/redskunk"
"53","barkingdingo.blogspot.com"
"54","bartcop.com"
"55","battleground-wisconsin.blogspot.com"
"56","battlegroundstates.blogspot.com"
"57","beastsbelly.blogspot.com"
"58","bentcorner.blogspot.com"
"59","bettyblog.com"
"60","billmon.org"
"61","billsrants.blogspot.com"
"62","blog.dccc.org"
"63","blog.dennisfox.net"
"64","blog.glinka.com"
"65","blog.johnkerry.com"
"66","blog.kenlan.net"
"67","blog.mintruth.com"
"68","blog.veggiedude.com"
"69","blog01.kintera.com/dnccblog"
"70","blog01.kintera.com/emilysblog"
"71","bloganonymous.com"
"72","blogforamerica.com"
"73","blogforarizona.com"
"74","blogfreeordie.blogspot.com"
"75","blogitics.com"
"76","blogs.salon.com/0002874"
"77","blogs.salon.com/0003364"
"78","blogslut.com"
"79","blosteam.blogspot.com"
"80","bluegrassroots.blogspot.com"
"81","bluelemur.com"
"82","blueoregon.com"
"83","bluestateredstate.blogspot.com"
"84","bodyandsoul.typepad.com"
"85","boffo.typepad.com"
"86","boloboffin.blogspot.com"
"87","bopnews.com"
"88","boston.com/news/blogs/dnc"
"89","bowles2004.com/weblog"
"90","boycottsbg.com"
"91","bradcarson.com/blog"
"92","bradfriedman.com/bradblog"
"93","brilliantatbreakfast.blogspot.com"
"94","browncross.com/usualsuspects"
"95","btcnews.com/btcnews"
"96","bullmooseblog.com"
"97","burntorangereport.com"
"98","bushlies.net/pages/10/index.htm"
"99","bushmisunderestimated.blogspot.com"
"100","busybusybusy.com"
"101","buzzmachine.com"
"102","carpetblogger.com"
"103","cbaker.org/blog"
"104","cemonitor.blogspot.com"
"105","centerpiece.blogspot.com"
"106","changeforamerica.com/blog"
"107","charleypatton.blogspot.com"
"108","charlineandjamie.com/dotnetweb01a/blogdisplay.aspx?logname=jamie&#38;logcatid=48"
"109","chepooka.com"
"110","chiron.typepad.com"
"111","churchofcriticalthinking.com"
"112","clarified.blogspot.com"
"113","claudialong.com/blog"
"114","cleancutkid.com"
"115","collegedems.com/blog"
"116","conniptions.net"
"117","conservativessuck.blogspot.com"
"118","contrapositive.blogspot.com"
"119","corrente.blogspot.com"
"120","counterspin.blogspot.com"
"121","crankylittleblog.blogspot.com"
"122","criticalviewer.com"
"123","crookedtimber.org"
"124","crooksandliars.com"
"125","dailyblatt.blogspot.com"
"126","dailyhowler.com"
"127","dailykos.com"
"128","dailywarnews.blogspot.com"
"129","damntheman.net"
"130","dashnier.blogspot.com"
"131","davidsirota.com"
"132","dawnofnewamerica.blogspot.com"
"133","deathpenaltyusa.blogspot.com"
"134","debunker.net"
"135","dedspace.blogspot.com"
"136","delraysteve.com/blog"
"137","demagogue.blogspot.com"
"138","demleft.blogspot.com"
"139","democraticunderground.com"
"140","democratreport.blogspot.com"
"141","democrats.org/blog"
"142","democratvoice.org"
"143","dems2000.net"
"144","dems2004.org/blog"
"145","denisdekat.com"
"146","dewar.journalspace.com"
"147","digbysblog.blogspot.com"
"148","digestiblenews.blogspot.com"
"149","digitaljay.blogspot.com"
"150","dimmykarras.blogspot.com"
"151","dir.salon.com/topics/joe_conason/index.html"
"152","discourse.net"
"153","diypolitics.blogdrive.com"
"154","dneiwert.blogspot.com"
"155","dogfight04.typepad.com"
"156","dohiyimir.typepad.com"
"157","dolphinsdock.com/blog"
"158","donkey2004.blogspot.com"
"159","donspoliticalblog.blogspot.com"
"160","duckdaotsu.blogspot.com"
"161","dystopia.blog-city.com"
"162","eastbaykerry.com"
"163","elayneriggs.blogspot.com"
"164","elderbearden.blogspot.com"
"165","electablog.com"
"166","elemming2.blogspot.com"
"167","elissa.typepad.com"
"168","eltcamerica.blogspot.com"
"169","emergingdemocraticmajority.com"
"170","emergingdemocraticmajorityweblog.com/donkeyrising"
"171","emptyisform.com"
"172","endthenightmare.blogspot.com"
"173","enemykombatant.blogspot.com"
"174","ergio.blogspot.com"
"175","estropundit.blogspot.com"
"176","etherealgirl.blogspot.com"
"177","fafblog.blogspot.com"
"178","fairshot.org"
"179","farleft.blogspot.com"
"180","fiercepoet.com"
"181","flagrancy.net"
"182","folkbum.blogspot.com"
"183","forewarned.blogspot.com"
"184","frederickclarkson.com"
"185","fromtheroots.org"
"186","fuckthisblog.blogspot.com"
"187","gadflyer.com"
"188","garbage-house.com"
"189","georgewbuy.blogspot.com"
"190","gisleson.com/blog"
"191","global-equality.org/news/blog/index.shtml"
"192","goose3five.blogspot.com"
"193","grassrootsmom.blogspot.com"
"194","grassrootsnation.com"
"195","greaterdemocracy.org"
"196","greendogdemocrat.blogspot.com"
"197","gregpalast.com"
"198","grupo-utopia.com/blog/isou"
"199","hal9000report.blogdrive.com"
"200","hategun.com"
"201","hellafaded.blogspot.com"
"202","hellskitchennyc.blogspot.com"
"203","hereswhatsleft.typepad.com"
"204","hereswhatsleft.typepad.com/home"
"205","higherpieproductions.com"
"206","home.att.net/~gentle.reader"
"207","home.earthlink.net/~fsrhine"
"208","home.earthlink.net/~kevin.omeara"
"209","home.houston.rr.com/skeptical"
"210","homepage.mac.com/elisa_camahort/iblog"
"211","hotflashesfromthecampaigntrail.blogspot.com"
"212","hotflashreport.com"
"213","howienfriends.blogspot.com"
"214","hugozoom.blogspot.com"
"215","ibe.blogspot.com"
"216","ibrutus.com"
"217","iddybud.blogspot.com"
"218","idiosyncratictendencies.com"
"219","idlehandsmag.com/yellowdog04"
"220","iflipflop.com"
"221","ignatz.blogspot.com"
"222","ihatepatrobertson.com"
"223","ilovecynics.com"
"224","insanepreschoolmom.blogspot.com"
"225","interestingtimes.blogspot.com"
"226","interestingtimes.typepad.com"
"227","ironmouth.com"
"228","irregulartimes.com/blogger.html"
"229","islanddave.blogspot.com"
"230","itlookslikethis.blogeasy.com"
"231","ivotedforgeorge.com"
"232","iwantmycountryback.org"
"233","j-bradford-delong.net/movable_type"
"234","jadbury.com"
"235","jadbury.com/blog"
"236","jadedreality.blogspot.com"
"237","jameswolcott.com"
"238","janm.blogspot.com"
"239","jbcougar.blogspot.com"
"240","jdeeth.blogspot.com"
"241","jeremybrendan.blogspot.com"
"242","jetage.blogspot.com"
"243","jewssansfrontieres.blogspot.com"
"244","jimgilliam.com"
"245","jimtreacher.com"
"246","jinkythecat.blogspot.com"
"247","jmbzine.com"
"248","joebrent.blogspot.com"
"249","john.hoke.org"
"250","johnmccrory.com"
"251","johnnynobody.blogspot.com"
"252","journals.aol.com/breuvers/madashellnotgoingtotakeitanymore"
"253","juancole.com"
"254","julietterossant.com/superchefblog/superchefblog.html"
"255","juliusblog.blogspot.com"
"256","justmark.com"
"257","karlhenderson.blogspot.com"
"258","karmicsoup.blogspot.com"
"259","kcdems.blogspot.com"
"260","kensain.com"
"261","kerryforpresident2008.blogspot.com"
"262","kicktheleftist.blogspot.com"
"263","kiosan.blogharbor.com"
"264","kippsblog.com"
"265","kurtkk.blogspot.com"
"266","kydem.blogspot.com"
"267","lastdaysoftherepublic.fatoprofugus.net"
"268","lawdork.blogspot.com"
"269","leanleft.com"
"270","left2right.typepad.com"
"271","lefterer.com"
"272","lefti.blogspot.com"
"273","leftinthereign.blogspot.com"
"274","leftthought.blogspot.com"
"275","lefttimes.com"
"276","leftwingnation.com"
"277","lendmesomesugar.blogs.com/shut_up_already"
"278","lennonreport.blogspot.com"
"279","leonards-digest.blogspot.com"
"280","liberalangst.org"
"281","liberalavenger.com"
"282","liberaleric.blogspot.com"
"283","liberaloasis.com"
"284","liberalreview.blogspot.com"
"285","liberalthunderdome.blogspot.com"
"286","lightupthedarkness.org"
"287","lightupthedarkness.org/blog/default.asp"
"288","limericksavant.blogspot.com"
"289","liquidlist.com"
"290","livejournal.com/users/hoptkov"
"291","livejournal.com/users/jmhm"
"292","loadedmouth.com"
"293","lorenjavier.blogspot.com"
"294","loud-liberal.blogspot.com"
"295","loveamericahatebush.com"
"296","lowrentrat.blogdrive.com"
"297","ltobs.blogspot.com"
"298","ludis.blogspot.com"
"299","ludovicspeaks.typepad.com"
"300","ludovicspeaks.typepad.com/real_deal"
"301","madkane.com/notable.html"
"302","maggiespants.co.uk"
"303","mahablog.com"
"304","marcbrazeau.blogspot.com"
"305","margaretcho.com/blog/blog.htm"
"306","margieburns.com"
"307","markadams.blogdrive.com"
"308","markarkleiman.com"
"309","markschmitt.typepad.com/decembrist"
"310","markwarnerforpresident2008.blogspot.com"
"311","maruthecrankpot.blogspot.com"
"312","massachusetts-liberal.com"
"313","mathewgross.com"
"314","mathewgross.com/blog"
"315","matthewyglesias.com"
"316","maultasch.us"
"317","maxspeak.org/mt"
"318","mayflowerhill.blogspot.com"
"319","mcwil.blogspot.com"
"320","meanspirit.blogspot.com"
"321","meateatingleftist.com"
"322","mediajunkie.com/edgewise"
"323","mediaprima.com/nv1962"
"324","messengerpuppet.com/blog"
"325","metropol47.blogspot.com"
"326","michael124.blogspot.com"
"327","michaelberube.com"
"328","michaelphillips.blogspot.com"
"329","mickikrimmel.com/redcarpet"
"330","midguard.blogspot.com"
"331","minagahet.blogspot.com"
"332","mirocat.com"
"333","misschin.bloggage.com"
"334","mixtersmix.blogspot.com"
"335","montages.blogspot.com"
"336","moxiegrrrl.com"
"337","mrleft.org"
"338","msnbc.msn.com/id/3449870"
"339","mstabile.blogspot.com"
"340","mydd.com"
"341","myleftbrain.com"
"342","myleftthoughts.blogspot.com"
"343","mysterypollster.com/main"
"344","nastyboys.blogspot.com"
"345","nathancallahan.com"
"346","nathannewman.org/log"
"347","nationalreview.com/frum/frum-diary.asp"
"348","ndnblog.org"
"349","nearouterheaven.blogspot.com"
"350","nebursworld.blogspot.com"
"351","needlenose.com"
"352","nerofiddled.blogspot.com"
"353","netpolitik.blogspot.com"
"354","netweed.com/postmodernanarchist"
"355","newappeal.blogspot.com"
"356","newdemocrat.blogdrive.com"
"357","newdonkey.com"
"358","newleftblogs.blogspot.com"
"359","nielsenhayden.com/electrolite"
"360","nielsenhayden.com/makinglight"
"361","njfordemocracy.org"
"362","node707.com"
"363","nofearoffreedom.blogspot.com"
"364","nomoremister.blogspot.com"
"365","norbizness.com"
"366","noseyonline.com"
"367","nosmallplans.com/rants"
"368","notbush.com"
"369","notgeniuses.com"
"370","nycitystoop.com"
"371","obamablog.com"
"372","obsidianwings.blogs.com"
"373","oddhours.blogspot.com"
"374","offthekuff.com/mt"
"375","oipp.blogspot.com"
"376","oliverwillis.com"
"377","one38.org"
"378","openeyesmemo.com"
"379","orient-lodge.com"
"380","ospolitics.org"
"381","oxblog.blogspot.com"
"382","pacdaily.com"
"383","pacificviews.org"
"384","pandagon.net"
"385","parabasis.typepad.com"
"386","patriotboy.blogspot.com"
"387","pattymurray.com/blog.php"
"388","paulchasman.com"
"389","peacegarden.blogspot.com"
"390","penheaded.blogspot.com"
"391","pennywit.com/drupal"
"392","permanentred.com"
"393","peskytherat.com/pesky"
"394","phillybri.blogspot.com"
"395","philoponia.blogspot.com"
"396","philosophers-stone.blogspot.com"
"397","philvbblog.blogspot.com"
"398","phoblographer.com"
"399","pinkofeministhellcat.typepad.com/pinko_feminist_hellcat"
"400","planetdave.com/blogs.php3?mid=1"
"401","politicalmonitor.us/blog"
"402","politicalstrategy.org"
"403","politicalthought.net"
"404","politicalwire.com"
"405","politics.feedster.com"
"406","politicswithrichard.blogspot.com"
"407","polizeros.com"
"408","pollsterseek.blogspot.com"
"409","polstate.com"
"410","portapulpit.com"
"411","praguewriter.typepad.com"
"412","presidentboxer.blogspot.com"
"413","prestoncaldwellblog.blogspot.com"
"414","profgoose.blogspot.com"
"415","progressiveink.com"
"416","progressivesociety.com/blog"
"417","proponentofreason.blogspot.com"
"418","prospect.org/weblog"
"419","pudentilla.blogspot.com"
"420","punditician.blogspot.com"
"421","purplestates.blogspot.com"
"422","qando.net"
"423","question-dean.blogspot.com"
"424","radgeek.com"
"425","radikal_papi.pitas.com"
"426","radio.weblogs.com/0131587/categories/flush"
"427","raedinthemiddle.blogspot.com"
"428","reachm.com/amstreet"
"429","readingpost.com"
"430","realitybasednation.com"
"431","red-harvest.blogspot.com"
"432","religiousleft.blogspot.com"
"433","republicoft.typepad.com"
"434","resistoppression.blogspot.com"
"435","restoreamerica.blogspot.com"
"436","retrogrouch.net"
"437","rhetoricrhythm.blogspot.com"
"438","righthandthief.blogspot.com"
"439","rising-hegemon.blogspot.com"
"440","risinghegemon.blogspot.com"
"441","rittenhouse.blogspot.com"
"442","riverbendblog.blogspot.com"
"443","roadtosurfdom.com"
"444","robot-invasion.com"
"445","robschumacher.blogspot.com"
"446","rogerailes.blogspot.com"
"447","rooksrant.com"
"448","rowhouselogic.com"
"449","roxanne.typepad.com"
"450","rudepundit.blogspot.com"
"451","ruminatethis.com"
"452","s88172659.onlinehome.us/spockosbrain.html"
"453","sadlyno.com"
"454","saveoursenate.blogspot.com"
"455","sccdp.org/blog.php"
"456","schadelmann.com"
"457","scoobiedavis.blogspot.com"
"458","scottcsmith.net"
"459","scripting.com"
"460","scrutinyhooligans.blogspot.com"
"461","seeingtheforest.com"
"462","seetheforest.blogspot.com"
"463","sethdmichaels.com"
"464","shakespearessister.blogspot.com"
"465","shamelessantagonist.blogspot.com"
"466","sharedthought.com/weblog"
"467","shininglight.us"
"468","shoegal.modblog.com"
"469","shotofpolitics.blogspot.com"
"470","shrillblog.blogspot.com"
"471","simbaud.blogspot.com"
"472","simplyappalling.blogspot.com"
"473","smirkingchimp.com"
"474","smithersmpls.com"
"475","snunes.blogspot.com"
"476","someonetakethewheel.blogspot.com"
"477","soonerthought.com"
"478","southknoxbubba.net/skblog"
"479","spacedog26.blogspot.com"
"480","spectatorsport.blogspot.com"
"481","stagefour.typepad.com/commonprejudice"
"482","stalinism.com/shot-by-both-sides"
"483","stcfoundation.blogspot.com"
"484","stephenbates.com/yellowdoggereldemocrat"
"485","stevecopy.blogharbor.com"
"486","stevegilliard.blogspot.com"
"487","steveguy.me.uk"
"488","stevemacek.blogspot.com"
"489","stillfighting.blogspot.com"
"490","stitt.blogspot.com"
"491","strangedoctrines.typepad.com"
"492","strangesemantics.blogspot.com"
"493","suburbanguerrilla.blogspot.com"
"494","swamiuptown.com"
"495","swingstateproject.com"
"496","takebackthemedia.com"
"497","talkingpointsmemo.com"
"498","talkleft.com"
"499","tallone.org"
"500","tbogg.blogspot.com"
"501","teenageenthusiast.blogspot.com"
"502","tesibria.typepad.com/democracy_is_coming"
"503","thatcoloredfellasweblog.bloghorn.com"
"504","thatgoodnight.com"
"505","the-goddess.org"
"506","the-hamster.com"
"507","theaggpro.blogspot.com"
"508","theagitator.blogspot.com"
"509","theangryliberal.blogspot.com"
"510","theantibush.org"
"511","theapologist.blogspot.com"
"512","theblogwarrior.blogspot.com"
"513","theblueview.blogspot.com"
"514","thecarpetbaggerreport.com"
"515","thecore4.com"
"516","thefulcrum.blogspot.com"
"517","theleftcoaster.com"
"518","thelucideye.blogspot.com"
"519","thepeach.blogspot.com"
"520","thepoorman.net"
"521","theradiomansays.blogspot.com"
"522","therogueangel.com/blog"
"523","thesnooter.blogspot.com"
"524","thetalentshow.org"
"525","thetalkingdog.com"
"526","thewashingtonnote.com"
"527","theworldaroundyou.com"
"528","thewritewing.blogspot.com"
"529","theyetimn.blogspot.com"
"530","thingsasitis.net"
"531","think2004.com"
"532","thinkingrocks.blogspot.com"
"533","thirdredeye.blogspot.com"
"534","thislousytshirt.net"
"535","thismodernworld.com"
"536","thomasblog.typepad.com/bloggg"
"537","thunewatch.squarespace.com"
"538","tinylittledots.com"
"539","tobyemden.blogspot.com"
"540","tomburka.com"
"541","tomcoburnisabigfatjerk.blogspot.com"
"542","tomherod.blogspot.com"
"543","toteota.blogspot.com"
"544","trainorphans.org"
"545","translucence.org"
"546","travalex.blogspot.com"
"547","tristero.blogspot.com"
"548","trueconservative.typepad.com"
"549","truedemocrat.blogspot.com"
"550","turnpikefeminist.com"
"551","turnspit.com"
"552","uberdude.blogspot.com"
"553","uggabugga.blogspot.com"
"554","unodemocrats.com/blog"
"555","upper-left.blogspot.com"
"556","urbandemocracy.blogspot.com"
"557","urbanecoinc.com/wordpress1"
"558","usademocrazy.blogspot.com"
"559","usliberals.about.com"
"560","vernsblog.thegillfamily.us:8180"
"561","virginiaprogressive.blogspot.com"
"562","vocis.com/frank"
"563","waitingfordorothy.blogspot.com"
"564","wampum.wabanaki.net"
"565","warandpiece.com"
"566","washingtonmonthly.com"
"567","watchingthewatchers.org"
"568","waveflux.net"
"569","weblogs.bakshi.us/redskunk"
"570","whopundit.blogspot.com"
"571","whoviating.blogspot.com"
"572","whyareweback.blogspot.com"
"573","winnegar.blog-city.com"
"574","winthewest.blogspot.com"
"575","woneffe.typepad.com"
"576","wonkette.com"
"577","worldonfire.typepad.com/world_on_fire"
"578","wpblog.ohpinion.com"
"579","wsrblood.typepad.com/wiserblog"
"580","wtpm.blogspot.com"
"581","x-pollen.com/many/blog.html"
"582","xnerg.blogspot.com"
"583","yarsrevenge.blogspot.com"
"584","yglesias.typepad.com/matthew"
"585","yoder.ru"
"586","younglibs.com"
"587","a100wwe.blogspot.com"
"588","absurd-canadian.blogspot.com"
"589","ace.mu.nu"
"590","aceoftrumpblog.blogspot.com"
"591","acepilots.com/mt"
"592","acertainslantoflight.blogspot.com"
"593","achicknamedmarzi.com"
"594","activistchat.com/blogiran"
"595","adeimantus.blogspot.com"
"596","alamodispatches.blogspot.com"
"597","alamonation.blogspot.com"
"598","alarmingnews.com"
"599","aldaron.modblog.com"
"600","aldaynet.org"
"601","alexpelan.blogspot.com"
"602","alittlemoretotheright.com"
"603","all-encompassingly.com"
"604","allahpundit.com"
"605","allthingsmark.com"
"606","alphapatriot.com"
"607","althouse.blogspot.com"
"608","americanchronicle.blogspot.com"
"609","americandigest.org"
"610","americandinosaur.blogspot.com"
"611","americanfuture.typepad.com"
"612","americankernel.com"
"613","americanreport.blogspot.com"
"614","americanthinker.com"
"615","americanwarmonger.blogspot.com"
